feedback_id,attendee_id,session_id,rating,comment
F0001,A319,S139,3,Needs more technical depth.
F0002,A270,S141,3,Slides were hard to read.
F0003,A142,S144,4,Good but room too crowded.
F0004,A308,S141,1,Will recommend to colleagues.
F0005,A172,S108,3,Average content.
F0006,A373,S136,2,Slides were hard to read.
F0007,A289,S114,2,Average content.
F0008,A241,S113,1,Great speaker energy!
F0009,A276,S126,3,Well organised session.
F0010,A144,S110,2,Will recommend to colleagues.
F0011,A333,S107,2,Well organised session.
F0012,A379,S144,2,Will recommend to colleagues.
F0013,A341,S147,1,Slides were hard to read.
F0014,A166,S124,3,Great speaker energy!
F0015,A383,S138,4,Not relevant to my work.
F0016,A195,S118,2,Not relevant to my work.
F0017,A194,S134,1,Well organised session.
F0018,A103,S115,1,Great speaker energy!
F0019,A219,S130,4,"Excellent talk, very useful."
F0020,A110,S142,3,Great speaker energy!
F0021,A386,S110,1,Great speaker energy!
F0022,A197,S121,2,Well organised session.
F0023,A182,S126,4,Needs more technical depth.
F0024,A360,S134,5,Great speaker energy!
F0025,A211,S119,5,Great speaker energy!
F0026,A174,S106,4,Not relevant to my work.
F0027,A245,S119,5,Will recommend to colleagues.
F0028,A320,S117,3,Great speaker energy!
F0029,A184,S132,4,Well organised session.
F0030,A153,S114,5,Great speaker energy!
F0031,A219,S146,5,"Excellent talk, very useful."
F0032,A239,S116,1,Will recommend to colleagues.
F0033,A138,S113,5,"Excellent talk, very useful."
F0034,A116,S116,2,Average content.
F0035,A332,S147,1,Slides were hard to read.
F0036,A198,S136,4,Great speaker energy!
F0037,A217,S141,2,Good but room too crowded.
F0038,A335,S106,5,Average content.
F0039,A238,S134,5,Great speaker energy!
F0040,A152,S130,1,Good but room too crowded.
F0041,A237,S145,2,Good but room too crowded.
F0042,A147,S135,2,Needs more technical depth.
F0043,A198,S119,4,Needs more technical depth.
F0044,A203,S112,1,Slides were hard to read.
F0045,A362,S117,4,Great speaker energy!
F0046,A358,S103,4,Needs more technical depth.
F0047,A358,S129,5,Will recommend to colleagues.
F0048,A133,S117,3,Needs more technical depth.
F0049,A238,S110,3,Will recommend to colleagues.
F0050,A300,S126,3,Needs more technical depth.
F0051,A286,S111,5,Good but room too crowded.
F0052,A129,S129,5,Will recommend to colleagues.
F0053,A193,S133,5,Good but room too crowded.
F0054,A149,S106,3,Slides were hard to read.
F0055,A294,S114,4,Will recommend to colleagues.
F0056,A268,S146,5,Not relevant to my work.
F0057,A374,S118,4,Needs more technical depth.
F0058,A271,S139,4,Average content.
F0059,A326,S147,5,Slides were hard to read.
F0060,A318,S132,1,Slides were hard to read.
F0061,A260,S106,4,Great speaker energy!
